player,pos,team,depth_rank,ahead_count,ahead_volume,own_volume,room_volume,share_of_room
Jacoby Brissett,QB,ARI,1,0,0,0,0,0.0
Gardner Minshew II,QB,ARI,2,1,0,0,0,0.0
Carson Beck,QB,ARI,3,2,0,0,0,0.0
Kedon Slovis,QB,ARI,4,3,0,0,0,0.0
Jeremiyah Love,RB,ARI,1,0,0,0,305,0.0
Tyler Allgeier,RB,ARI,2,1,0,143,305,46.9
James Conner,RB,ARI,3,2,143,32,305,10.5
Bam Knight,RB,ARI,4,3,175,82,305,26.9
Evan Hull,RB,ARI,5,4,257,19,305,6.2
Tre Stewart,RB,ARI,6,5,276,0,305,0.0
Trey Benson,RB,ARI,7,6,276,29,305,9.5
Trey McBride,TE,ARI,1,0,0,169,211,80.1
Tip Reiman,TE,ARI,2,1,169,5,211,2.4
Elijah Higgins,TE,ARI,3,2,174,37,211,17.5
Teagan Quitoriano,TE,ARI,4,3,211,0,211,0.0
Rivaldo Fairweather,TE,ARI,5,4,211,0,211,0.0
Shawn Bowman,TE,ARI,6,5,211,0,211,0.0
Jameson Geers,TE,ARI,7,6,211,0,211,0.0
Marvin Harrison Jr.,WR,ARI,1,0,0,73,276,26.4
Michael Wilson,WR,ARI,2,1,73,126,276,45.7
Kendrick Bourne,WR,ARI,3,2,199,53,276,19.2
Jalen Brooks,WR,ARI,4,3,252,6,276,2.2
Reggie Virgil,WR,ARI,5,4,258,0,276,0.0
Devin Duvernay,WR,ARI,6,5,258,5,276,1.8
Simi Fehoko,WR,ARI,7,6,263,0,276,0.0
Harrison Wallace III,WR,ARI,8,7,263,0,276,0.0
Ihmir Smith-Marsette,WR,ARI,9,8,263,0,276,0.0
Xavier Weaver,WR,ARI,10,9,263,13,276,4.7
Tua Tagovailoa,QB,ATL,1,0,0,0,0,0.0
Michael Penix Jr.,QB,ATL,2,1,0,0,0,0.0
Cooper Rush,QB,ATL,3,2,0,0,0,0.0
Jack Strand,QB,ATL,4,3,0,0,0,0.0
Bijan Robinson,RB,ATL,1,0,0,287,296,97.0
Brian Robinson Jr.,RB,ATL,2,1,287,0,296,0.0
Tyler Goodson,RB,ATL,3,2,287,9,296,3.0
Nathan Carter,RB,ATL,4,3,296,0,296,0.0
Cash Jones,RB,ATL,5,4,296,0,296,0.0
Trey Sermon,RB,ATL,6,5,296,0,296,0.0
Kyle Pitts Sr.,TE,ATL,1,0,0,0,35,0.0
Charlie Woerner,TE,ATL,2,1,0,9,35,25.7
Austin Hooper,TE,ATL,3,2,9,26,35,74.3
Nick Muse,TE,ATL,4,3,35,0,35,0.0
Jack Velling,TE,ATL,5,4,35,0,35,0.0
Drake London,WR,ATL,1,0,0,112,230,48.7
Jahan Dotson,WR,ATL,2,1,112,36,230,15.7
Olamide Zaccheaus,WR,ATL,3,2,148,65,230,28.3
Zachariah Branch,WR,ATL,4,3,213,0,230,0.0
Dylan Drummond,WR,ATL,5,4,213,11,230,4.8
Chris Blair,WR,ATL,6,5,224,0,230,0.0
Vinny Anthony II,WR,ATL,7,6,224,0,230,0.0
Juice Wells Jr.,WR,ATL,8,7,224,0,230,0.0
Beaux Collins,WR,ATL,9,8,224,6,230,2.6
Le'Meke Brockington,WR,ATL,11,9,230,0,230,0.0
Lamar Jackson,QB,BAL,1,0,0,0,0,0.0
Tyler Huntley,QB,BAL,2,1,0,0,0,0.0
Joe Fagnano,QB,BAL,3,2,0,0,0,0.0
Skylar Thompson,QB,BAL,4,3,0,0,0,0.0
Derrick Henry,RB,BAL,1,0,0,307,332,92.5
Justice Hill,RB,BAL,2,1,307,18,332,5.4
Rasheen Ali,RB,BAL,3,2,325,7,332,2.1
Adam Randall,RB,BAL,4,3,332,0,332,0.0
Elijah Tau-Tolliver,RB,BAL,5,4,332,0,332,0.0
Dontae McMillan,RB,BAL,6,5,332,0,332,0.0
Jonathan Ward,RB,BAL,7,6,332,0,332,0.0
Mark Andrews,TE,BAL,1,0,0,70,76,92.1
Durham Smythe,TE,BAL,2,1,70,6,76,7.9
Matthew Hibner,TE,BAL,3,2,76,0,76,0.0
Josh Cuevas,TE,BAL,4,3,76,0,76,0.0
Ty Pezza,TE,BAL,5,4,76,0,76,0.0
Zay Flowers,WR,BAL,1,0,0,118,164,72.0
Rashod Bateman,WR,BAL,2,1,118,38,164,23.2
Ja'Kobi Lane,WR,BAL,3,2,156,0,164,0.0
Devontez Walker,WR,BAL,4,3,156,8,164,4.9
Elijah Sarratt,WR,BAL,5,4,164,0,164,0.0
LaJohntay Wester,WR,BAL,6,5,164,0,164,0.0
Dayton Wade,WR,BAL,7,6,164,0,164,0.0
Cornelius Johnson,WR,BAL,8,7,164,0,164,0.0
Xavier Guillory,WR,BAL,9,8,164,0,164,0.0
Cortez Braham Jr.,WR,BAL,11,9,164,0,164,0.0
Octavian Smith Jr.,WR,BAL,12,10,164,0,164,0.0
Josh Allen,QB,BUF,1,0,0,0,0,0.0
Kyle Allen,QB,BUF,2,1,0,0,0,0.0
Shane Buechele,QB,BUF,3,2,0,0,0,0.0
James Cook III,RB,BUF,1,0,0,0,108,0.0
Ray Davis,RB,BUF,2,1,0,58,108,53.7
Ty Johnson,RB,BUF,3,2,58,50,108,46.3
Frank Gore Jr.,RB,BUF,4,3,108,0,108,0.0
Ian Wheeler,RB,BUF,5,4,108,0,108,0.0
Desmond Reid,RB,BUF,6,5,108,0,108,0.0
Dalton Kincaid,TE,BUF,1,0,0,49,121,40.5
Dawson Knox,TE,BUF,2,1,49,49,121,40.5
Jackson Hawes,TE,BUF,3,2,98,19,121,15.7
Keleki Latu,TE,BUF,4,3,117,4,121,3.3
DJ Moore,WR,BUF,1,0,0,85,268,31.7
Khalil Shakir,WR,BUF,2,1,85,95,268,35.4
Keon Coleman,WR,BUF,3,2,180,59,268,22.0
Joshua Palmer,WR,BUF,4,3,239,0,268,0.0
Skyler Bell,WR,BUF,5,4,239,0,268,0.0
Tyrell Shavers,WR,BUF,6,5,239,23,268,8.6
Trent Sherfield,WR,BUF,7,6,262,5,268,1.9
Stephen Gosnell,WR,BUF,8,7,267,0,268,0.0
Max Tomczak,WR,BUF,9,8,267,0,268,0.0
